# Rime user dictionary
#@/db_name	wubi_moye
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1360
#@/user_id	emacs@mac
wtf 	任	c=1 d=0.440432 t=1360
wttl 	任务	c=1 d=1 t=1255
wtws 	任何	c=2 d=1.06754 t=1350
wty 	八	c=1 d=1 t=750
wu 	们	c=1 d=1 t=439
wv 	分	c=1 d=1 t=892
ww 	从	c=2 d=1.18544 t=1293
wwf 	坐	c=6 d=1.91373 t=1224
wwg 	丛	c=1 d=0.279431 t=1360
wwv 	份	c=1 d=1 t=659
wxtm 	倾向	c=1 d=1 t=780
wxtm 	货币	c=1 d=1 t=779
wygg 	住	c=3 d=2.85014 t=981
wyp 	停	c=1 d=1 t=1003
wytf 	伪造	c=1 d=1 t=657
xa 	红	c=1 d=0.591555 t=1360
xaal 	练功	c=1 d=0.207008 t=1360
xan 	练	c=5 d=1.19395 t=1360
xat 	绕	c=1 d=1 t=861
xcip 	经常	c=2 d=1.9802 t=1250
xg 	线	c=1 d=0.778801 t=1360
xgif 	纯洁	c=1 d=0.831104 t=1360
xqc 	绝	c=2 d=0.337315 t=1360
xt 	张	c=16 d=4.67914 t=1155
xtf 	纤	c=2 d=1.99501 t=920
xw 	给	c=5 d=1.44282 t=1360
xxvk 	比如	c=1 d=1 t=699
xydc 	编码	c=1 d=1 t=1172
xyna 	编	c=1 d=1 t=686
yarp 	试探	c=1 d=1 t=800
yb 	离	c=1 d=1 t=1099
ybep 	享受	c=1 d=1 t=918
ybga 	离开	c=1 d=1 t=502
ycia 	充满	c=1 d=0.847894 t=1360
ye 	衣	c=2 d=0.248617 t=1360
yfn 	读	c=1 d=0.869358 t=1360
ygje 	证明	c=1 d=1 t=1356
yh 	让	c=5 d=2.29753 t=1349
yi 	就	c=16 d=2.05873 t=1360
yid 	应	c=1 d=0.308819 t=1360
ym 	高	c=1 d=1 t=607
ymet 	调用	c=2 d=1.10593 t=1189
ymf 	调	c=1 d=0.790571 t=1360
ymfm 	敲击	c=1 d=1 t=928
ymhc 	调皮	c=1 d=1 t=1042
ymkc 	敲	c=1 d=1 t=910
ymum 	高端	c=1 d=0.351692 t=1360
yn 	记	c=1 d=1 t=605
yned 	肩	c=1 d=1 t=971
yneu 	肩膀	c=1 d=1 t=959
ynnu 	忘	c=1 d=1 t=1004
yo 	变	c=1 d=1 t=708
ypm 	亮	c=1 d=1 t=749
yt 	放	c=2 d=1.09827 t=1191
ytd 	话	c=2 d=0.609571 t=1360
ytqq 	许多	c=1 d=1 t=603
yu 	说	c=7 d=1.39772 t=1360
ywx 	论	c=1 d=1 t=643
ywyg 	谁	c=3 d=0.444858 t=1360
yydm 	方面	c=2 d=1.956 t=690
yynw 	该	c=1 d=1 t=1017
